date,value,value_diff
1952-01-01,16299,
1952-04-01,16271,-28.0
1952-07-01,16317,46.0
1952-10-01,16776,459.0
1953-01-01,17025,249.0
1953-04-01,17093,68.0
1953-07-01,16920,-173.0
1953-10-01,16586,-334.0
1954-01-01,16436,-150.0
1954-04-01,16387,-49.0
1954-07-01,16496,109.0
1954-10-01,16737,241.0
1955-01-01,17144,407.0
1955-04-01,17353,209.0
1955-07-01,17508,155.0
1955-10-01,17528,20.0
1956-01-01,17388,-140.0
1956-04-01,17461,73.0
1956-07-01,17364,-97.0
1956-10-01,17562,198.0
1957-01-01,17595,33.0
1957-04-01,17485,-110.0
1957-07-01,17578,93.0
1957-10-01,17317,-261.0
1958-01-01,16805,-512.0
1958-04-01,16850,45.0
1958-07-01,17166,316.0
1958-10-01,17486,320.0
1959-01-01,17745,259.0
1959-04-01,18075,330.0
1959-07-01,18011,-64.0
1959-10-01,17983,-28.0
1960-01-01,18279,296.0
1960-04-01,18072,-207.0
1960-07-01,18070,-2.0
1960-10-01,17768,-302.0
1961-01-01,17828,60.0
1961-04-01,18061,233.0
1961-07-01,18331,270.0
1961-10-01,18610,279.0
1962-01-01,18875,265.0
1962-04-01,18979,104.0
1962-07-01,19138,159.0
1962-10-01,19124,-14.0
1963-01-01,19269,145.0
1963-04-01,19422,153.0
1963-07-01,19774,352.0
1963-10-01,19827,53.0
1964-01-01,20182,355.0
1964-04-01,20337,155.0
1964-07-01,20580,243.0
1964-10-01,20571,-9.0
1965-01-01,21011,440.0
1965-04-01,21219,208.0
1965-07-01,21618,399.0
1965-10-01,22044,426.0
1966-01-01,22525,481.0
1966-04-01,22543,18.0
1966-07-01,22664,121.0
1966-10-01,22780,116.0
1967-01-01,22926,146.0
1967-04-01,22883,-43.0
1967-07-01,23035,152.0
1967-10-01,23144,109.0
1968-01-01,23566,422.0
1968-04-01,23905,339.0
1968-07-01,24025,120.0
1968-10-01,24054,29.0
1969-01-01,24380,326.0
1969-04-01,24399,19.0
1969-07-01,24491,92.0
1969-10-01,24300,-191.0
1970-01-01,24204,-96.0
1970-04-01,24163,-41.0
1970-07-01,24303,140.0
1970-10-01,23960,-343.0
1971-01-01,24535,575.0
1971-04-01,24597,62.0
1971-07-01,24723,126.0
1971-10-01,24705,-18.0
1972-01-01,25099,394.0
1972-04-01,25608,509.0
1972-07-01,25783,175.0
1972-10-01,26146,363.0
1973-01-01,26735,589.0
1973-04-01,26966,231.0
1973-07-01,26758,-208.0
1973-10-01,26946,188.0
1974-01-01,26660,-286.0
1974-04-01,26666,6.0
1974-07-01,26347,-319.0
1974-10-01,26177,-170.0
1975-01-01,25806,-371.0
1975-04-01,25928,122.0
1975-07-01,26294,366.0
1975-10-01,26579,285.0
1976-01-01,27119,540.0
1976-04-01,27260,141.0
1976-07-01,27339,79.0
1976-10-01,27464,125.0
1977-01-01,27724,260.0
1977-04-01,28195,471.0
1977-07-01,28623,428.0
1977-10-01,28543,-80.0
1978-01-01,28567,24.0
1978-04-01,29596,1029.0
1978-07-01,29806,210.0
1978-10-01,30119,313.0
1979-01-01,30096,-23.0
1979-04-01,30050,-46.0
1979-07-01,30182,132.0
1979-10-01,30164,-18.0
1980-01-01,30174,10.0
1980-04-01,29470,-704.0
1980-07-01,29347,-123.0
1980-10-01,29813,466.0
1981-01-01,30335,522.0
1981-04-01,30042,-293.0
1981-07-01,30319,277.0
1981-10-01,29911,-408.0
1982-01-01,29384,-527.0
1982-04-01,29453,69.0
1982-07-01,29265,-188.0
1982-10-01,29205,-60.0
1983-01-01,29530,325.0
1983-04-01,30140,610.0
1983-07-01,30667,527.0
1983-10-01,31233,566.0
1984-01-01,31783,550.0
1984-04-01,32267,484.0
1984-07-01,32498,231.0
1984-10-01,32686,188.0
1985-01-01,32941,255.0
1985-04-01,33161,220.0
1985-07-01,33581,420.0
1985-10-01,33746,165.0
1986-01-01,33994,248.0
1986-04-01,34075,81.0
1986-07-01,34316,241.0
1986-10-01,34418,102.0
1987-01-01,34607,189.0
1987-04-01,34907,300.0
1987-07-01,35123,216.0
1987-10-01,35638,515.0
1988-01-01,35751,113.0
1988-04-01,36145,394.0
1988-07-01,36262,117.0
1988-10-01,36654,392.0
1989-01-01,36953,299.0
1989-04-01,37151,198.0
1989-07-01,37323,172.0
1989-10-01,37295,-28.0
1990-01-01,37617,322.0
1990-04-01,37636,19.0
1990-07-01,37529,-107.0
1990-10-01,37056,-473.0
1991-01-01,36769,-287.0
1991-04-01,36938,169.0
1991-07-01,36993,55.0
1991-10-01,36995,2.0
1992-01-01,37328,333.0
1992-04-01,37607,279.0
1992-07-01,37839,232.0
1992-10-01,38102,263.0
1993-01-01,38053,-49.0
1993-04-01,38158,105.0
1993-07-01,38210,52.0
1993-10-01,38606,396.0
1994-01-01,38876,270.0
1994-04-01,39288,412.0
1994-07-01,39390,102.0
1994-10-01,39720,330.0
1995-01-01,39754,34.0
1995-04-01,39760,6.0
1995-07-01,39969,209.0
1995-10-01,40117,148.0
1996-01-01,40317,200.0
1996-04-01,40873,556.0
1996-07-01,41106,233.0
1996-10-01,41401,295.0
1997-01-01,41558,157.0
1997-04-01,42128,570.0
1997-07-01,42514,386.0
1997-10-01,42745,231.0
1998-01-01,43062,317.0
1998-04-01,43342,280.0
1998-07-01,43748,406.0
1998-10-01,44321,573.0
1999-01-01,44627,306.0
1999-04-01,44876,249.0
1999-07-01,45326,450.0
1999-10-01,45932,606.0
2000-01-01,45983,51.0
2000-04-01,46704,721.0
2000-07-01,46624,-80.0
2000-10-01,46777,153.0
2001-01-01,46519,-258.0
2001-04-01,46698,179.0
2001-07-01,46390,-308.0
2001-10-01,46400,10.0
2002-01-01,46683,283.0
2002-04-01,46866,183.0
2002-07-01,46936,70.0
2002-10-01,46883,-53.0
2003-01-01,47027,144.0
2003-04-01,47342,315.0
2003-07-01,48012,670.0
2003-10-01,48450,438.0
2004-01-01,48633,183.0
2004-04-01,48905,272.0
2004-07-01,49243,338.0
2004-10-01,49623,380.0
2005-01-01,50068,445.0
2005-04-01,50204,136.0
2005-07-01,50470,266.0
2005-10-01,50629,159.0
2006-01-01,51200,571.0
2006-04-01,51210,10.0
2006-07-01,51155,-55.0
2006-10-01,51455,300.0
2007-01-01,51492,37.0
2007-04-01,51705,213.0
2007-07-01,51882,177.0
2007-10-01,52066,184.0
2008-01-01,51740,-326.0
2008-04-01,51923,183.0
2008-07-01,51523,-400.0
2008-10-01,50281,-1242.0
2009-01-01,49594,-687.0
2009-04-01,49408,-186.0
2009-07-01,49473,65.0
2009-10-01,49886,413.0
2010-01-01,50036,150.0
2010-04-01,50424,388.0
2010-07-01,50706,282.0
2010-10-01,50859,153.0
2011-01-01,50646,-213.0
2011-04-01,50897,251.0
2011-07-01,50769,-128.0
2011-10-01,51232,463.0
2012-01-01,51559,327.0
2012-04-01,51702,143.0
2012-07-01,51684,-18.0
2012-10-01,51634,-50.0
2013-01-01,51998,364.0
2013-04-01,51982,-16.0
2013-07-01,52284,302.0
2013-10-01,52544,260.0
2014-01-01,52266,-278.0
2014-04-01,52840,574.0
2014-07-01,53340,500.0
2014-10-01,53464,124.0
2015-01-01,53806,342.0
2015-04-01,54021,215.0
2015-07-01,54081,60.0
2015-10-01,54045,-36.0
2016-01-01,54267,222.0
2016-04-01,54334,67.0
2016-07-01,54549,215.0
2016-10-01,54714,165.0
2017-01-01,54866,152.0
2017-04-01,55057,191.0
2017-07-01,55413,356.0
2017-10-01,55877,464.0
2018-01-01,56195,318.0
2018-04-01,56512,317.0
2018-07-01,56831,319.0
2018-10-01,56851,20.0
2019-01-01,57100,249.0
2019-04-01,57418,318.0
2019-07-01,57845,427.0
2019-10-01,58017,172.0
